state,value,model,base_model,residual_kind,metric,direction,param__colsample_bytree,param__early_stopping_rounds,param__learning_rate,param__max_depth,param__min_child_weight,param__monotone_constraints,param__n_estimators,param__n_jobs,param__reg_alpha,param__subsample,param__tree_method,param__bootstrap,param__max_features,param__max_samples,param__min_samples_leaf,param__min_samples_split,param__kernel,param__C,param__gamma,param__epsilon,param__activation,param__dropout,param__loss,param__momentum,param__n_layers,param__optimizer,param__units_layer_1,param__units_layer_2,param__units_layer_3,param__units_layer_4,param__use_batchnorm,param__weight_decay,param__attn_dropout,param__batch_size,param__epochs,param__ff_dropout,param__input_dim,param__n_blocks,param__n_heads,param__patience,param__svr_C,param__svr_epsilon,param__svr_tol,param__lambda_sparse,param__mask_type,param__max_epochs,param__n_a,param__n_d,param__n_steps,param__num_workers,param__verbose,param__virtual_batch_size
COMPLETE,992.2231431243304,XGBoost,XGBoost,None,mae,minimize,0.7825931140512007,113.57666401118502,0.0726367257798818,8.244109579335586,2.9783546787694686,"(1,-1,0,0,1,0,0,0)",916.6199371111716,-0.9514749826614064,0.09377751920927334,0.9037676888270674,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1175.3225380436695,XGBoost,XGBoost,None,mae,minimize,0.6749449039585922,102.00111972507942,0.06714944808277461,10.371702488079594,5.088205090990211,"(1,-1,0,0,1,0,0,0)",891.1097382021228,-1.109162324379649,0.09201393595906356,0.9368374741442377,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,967.5604027180195,XGBoost,XGBoost,None,mae,minimize,0.9170709096172989,87.12373179017962,0.06101164019168432,8.757194249893429,3.7627047565206095,"(1,-1,0,0,1,0,0,0)",1032.6601698897166,-0.9315296701830873,0.08796797210190133,0.8711121696107893,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1077.6657739872394,XGBoost,XGBoost,None,mae,minimize,0.8196324791696681,122.03614262710292,0.06495341006747954,10.212926080501212,4.019671545368047,"(1,-1,0,0,1,0,0,0)",1159.8873738195132,-0.9657492200392911,0.08331934595402316,0.8945978269560849,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1356.390196910333,XGBoost,XGBoost,None,mae,minimize,0.6973777811201203,119.58603398398272,0.07149357921886747,9.363602557625136,3.5176980393428368,"(1,-1,0,0,1,0,0,0)",1077.0848016270525,-1.0295439277561818,0.07768804947882785,0.899125384238571,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1075.703536051226,XGBoost,XGBoost,None,mae,minimize,0.7790547293201029,111.48891678923306,0.07788760468507479,9.412329138142418,3.5826424729864046,"(1,-1,0,0,1,0,0,0)",1081.2020904731667,-0.9955690823260279,0.0855998162489754,0.7774579818514294,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1180.6994188917045,XGBoost,XGBoost,None,mae,minimize,0.7615578454829911,122.1704124569945,0.0626847157453581,10.795294994512831,5.053491930771581,"(1,-1,0,0,1,0,0,0)",1085.8556878236911,-1.129642832327115,0.08708532578288299,0.8384623663342029,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1219.4063007899945,XGBoost,XGBoost,None,mae,minimize,0.8198602819603436,96.63327324410781,0.07078994500416991,7.9003147284529325,3.925937434744474,"(1,-1,0,0,1,0,0,0)",1138.0290370833632,-1.1459414038253126,0.0937415101980075,1.0062248497398003,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1054.005879095765,XGBoost,XGBoost,None,mae,minimize,0.9449859625504009,103.90298407940722,0.06456263958885122,8.585195827878982,3.701022932345772,"(1,-1,0,0,1,0,0,0)",1083.294260535304,-1.1252259483043998,0.09136276063952935,0.9151046739839925,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,961.7564675942322,XGBoost,XGBoost,None,mae,minimize,0.8154069839382171,131.83227555230965,0.08017076733068991,8.014701631249345,3.824742238694845,"(1,-1,0,0,1,0,0,0)",1380.8730106967246,-1.0418100431078818,0.10504411712423824,1.0289213326239337,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,988.4263319425589,XGBoost,XGBoost,None,mae,minimize,0.8660952752810809,114.09762076306616,0.08248172817093645,10.765938588966137,3.667290961994503,"(1,-1,0,0,1,0,0,0)",1384.476518371422,-1.0169030851467291,0.09698917842646193,0.6520966047203797,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1200.8309212383188,XGBoost,XGBoost,None,mae,minimize,0.6336565594105628,110.3880186633719,0.06636314970369751,9.4195115784139,4.071730379124565,"(1,-1,0,0,1,0,0,0)",1090.4548055820433,-1.124593249690115,0.08206297944045056,0.8693369442960327,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1015.4564234103453,XGBoost,XGBoost,None,mae,minimize,0.7332731804510036,133.64612430632369,0.06133321704130256,8.260116239419306,4.877704618141066,"(1,-1,0,0,1,0,0,0)",1016.935905384631,-0.9935551533820017,0.09487490683760258,0.7805422055836063,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1007.793039725644,XGBoost,XGBoost,None,mae,minimize,0.7578324267686469,123.67288296802546,0.07496457935946858,8.432778261134878,3.946595955905938,"(1,-1,0,0,1,0,0,0)",1110.2821750498224,-0.7615144517355746,0.09397843909601894,0.9547441104356197,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1008.1566279814675,XGBoost,XGBoost,None,mae,minimize,0.8601387448079423,112.1680096138676,0.08296663308179275,8.529243524273673,4.236357265400155,"(1,-1,0,0,1,0,0,0)",878.592788117041,-1.007520001066089,0.0986585316543689,0.8408490207659459,hist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1111.9594532859116,RandomForest,RandomForest,None,mae,minimize,,,,28.39250629658282,,,991.2458437899062,-1.1100807763780658,,,,False,0.8115057974337797,,3.891493340867849,11.065636469648656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPLETE,1072.659933018911,RandomForest,RandomForest,None,mae,minimize,,,,27.174895181176,,,929.7976179166361,-0.9737746271049865,,,,False,0.7628801868670417,,3.4292524349241194,17.196594806250566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
